Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka
Poradna MELA,Odborné sociální poradenství,"Jeronýmova 632, Kolín VI 280 02, Středočeský kraj",kratina@melaops.cz,736 620 819,www.melaops.cz
Odborné sociální poradenství - Centrum služeb Slunce všem,Odborné sociální poradenství,"Pražská 910, Unhoš (část) 273 51, Středočeský kraj",centrum@slunce.info,771 126 585,http://www.slunce.info
Ambulantní léčba Renadi,Odborné sociální poradenství,"Bratislavská 2, Brno-Staré Brno (část) 602 00, Jihomoravský kraj",renadi@renadi.cz,721 911 633,https://www.renadi.cz
Odborné sociální poradenství,Odborné sociální poradenství,"Kotěrova 847/5, Hradec Králové (část) 500 03, Královéhradecký kraj",plt@charitahk.cz,777 737 612,https://www.charitahk.cz/komu-a-jak-pomahame/lidem-v-tisni-poradenstvi/
Centrum pro zdravotně postižené Liberec,Odborné sociální poradenství,"Dr. Milady Horákové 185/66, Horní Růžodol-Liberec VII 460 07, Liberecký kraj",liberec@czplk.cz,485 104 044,www.czplk.cz
Centrum pro zdravotně postižené česká Lípa,Odborné sociální poradenství,"Konopeova 812/2, česká Lípa (část) 470 01, Liberecký kraj",ceskalipa@czplk.cz,487 853 481,www.czplk.cz
Centrum pro zdravotně postižené Semily,Odborné sociální poradenství,"Archivní 570, Semily (část) 513 01, Liberecký kraj",semily@czplk.cz,488 577 841,www.czplk.cz
Centrum pro zdravotně postižené Jablonec nad Nisou,Odborné sociální poradenství,"Emilie Floriánové 1736/8, Jablonec nad Nisou (část) 466 01, Liberecký kraj",jablonec@czplk.cz,483 356 218,www.czplk.cz
Občanská poradna Prachatice,Odborné sociální poradenství,"Zlatá stezka 145, Prachatice 383 01, Jihočeský kraj",poradna@krebul.cz,723 123 093,https://www.krebul.cz/obcanska-poradna
Občanská poradna Liberec,Odborné sociální poradenství,"Švermova 32/35, Františkov-Liberec X 460 10, Liberecký kraj",poradna@d-os.net,777 098 277,www.d-os.net
"Občanská poradna Liberec - kontaktní pracoviště Jablonec nad Nisou, Spolkový dům",Odborné sociální poradenství,"Emilie Floriánové 1376/8, Jablonec nad Nisou (část) 466 01, Liberecký kraj",poradna.jablonec@d-os.net,775 077 618,www.d-os.net
Občanská poradna Liberec - kontaktní pracoviště Frýdlant v čechách - POSEC,Odborné sociální poradenství,"Havlíčkovo nám. 304, Frýdlant 464 01, Liberecký kraj",poradna.frydlant@d-os.net,775 077 234,www.d-os.net
Občanská poradna Liberec - kontaktní pracoviště Nový Bor,Odborné sociální poradenství,"Wolkerova 446, Nový Bor 473 01, Liberecký kraj",poradna.novybor@d-os.net,774 496 261,www.d-os.net
Občanská poradna Liberec - pracoviště česká Lípa,Odborné sociální poradenství,"Wolkerova 446, česká Lípa (část) 470 01, Liberecký kraj",poradna.ceskalipa@d-os.net,608 477 657,www.d-os.net
Občanská poradna Liberec - kontaktní pracoviště Turnov,Odborné sociální poradenství,"Žižkova 2031, Turnov 511 01, Liberecký kraj",poradna.turnov@d-os.net,777 323 156,www.d-os.net
Občanská poradna Liberec - kontaktní pracoviště Jilemnice,Odborné sociální poradenství,"Dolení 64, Jilemnice 514 01, Liberecký kraj",poradna.jilemnice@d-os.net,776 331 112,www.d-os.net
ELVA HELP z.s.,Odborné sociální poradenství,"Palachova 504/7, Liberec I-Staré Město (část) 460 01, Liberecký kraj",handicap.help@seznam.cz,607 725 304,www.elvahelp.cz
"Život bez bariér, z. ú. Nová Paka, Odborné sociální poradenství",Odborné sociální poradenství,"Opolského 148, Nová Paka (část) 509 01, Královéhradecký kraj",dana.chaloupkova@zbb.cz,602 393 368,http://www.zbb.cz
Občanská poradna Hradec Králové,Odborné sociální poradenství,"československé armády 543/29, Hradec Králové (část) 500 03, Královéhradecký kraj",ophk@ops.cz,736 472 678,http://www.ops.cz
Občanská poradna Náchod,Odborné sociální poradenství,"Weyrova 3, Náchod 547 01, Královéhradecký kraj",opnachod@ops.cz,734 370 960,http://www.ops.cz
Občanská poradna Jičín,Odborné sociální poradenství,"17. listopadu 861, Jičín-Dvorce 506 01, Královéhradecký kraj",opjicin@ops.cz,736 472 676,http://www.ops.cz
Kontaktní místo Kostelec nad Orlicí,Odborné sociální poradenství,"Příkopy 530, Kostelec nad Orlicí 517 41, Královéhradecký kraj",opnachod@ops.cz,734 370 960,http://www.ops.cz
"Centrum pro integraci osob se zdravotním postižením Královéhradeckého kraje, o. p. s.",Odborné sociální poradenství,"Jana černého 8/28, Věkoše (část) 503 41, Královéhradecký kraj",czphk@czphk.cz,495538867,http://www.czphk.cz
"Centrum pro integraci osob se zdravotním postižením Královéhradeckého kraje, o. p. s.",Odborné sociální poradenství,"Rybářská 1819, Náchod 547 01, Královéhradecký kraj",nachod@czphk.cz,491 426 027,http://www.czphk.cz
"Centrum pro integraci osob se zdravotním postižením Královéhradeckého kraje, o. p. s.",Odborné sociální poradenství,"Palackého 694, Rychnov nad Kněžnou 516 01, Královéhradecký kraj",rychnov@czphk.cz,494 535 494,http://www.czphk.cz
"Centrum pro integraci osob se zdravotním postižením Královéhradeckého kraje, o. p. s",Odborné sociální poradenství,"Horská 5, Střední Předměstí 541 01, Královéhradecký kraj",trutnov@czphk.cz,499 813 032,http://www.czphk.cz
"Centrum pro integraci osob se zdravotním postižením Královéhradeckého kraje, o. p. s.",Odborné sociální poradenství,"Vrchlického 823, Valdické Předměstí 506 01, Královéhradecký kraj",jicin@czphk.cz,493 532 182,http://www.czphk.cz
Občanská poradna Rychnov nad Kněžnou,Odborné sociální poradenství,"Tylova 373, Rychnov nad Kněžnou 516 01, Královéhradecký kraj",op.rychnov@gmail.com,775 475 796,www.oprk.cz
"KřESADLO HK - Centrum pomoci lidem s PAS, z.ú.",Odborné sociální poradenství,"Okružní 1130/11, Hradec Králové (část) 500 03, Královéhradecký kraj",info@kresadlohk.cz,778 085 235,www.kresadlohk.cz
Sociální rehabilitace,Odborné sociální poradenství,"Okružní 1130/11, Hradec Králové (část) 500 03, Královéhradecký kraj",info@kresadlohk.cz,778 085 235,www.kresadlohk.cz
Poradna sv. Alexandra,Odborné sociální poradenství,"Františka Formana 251/13, Ostrava-Dubina 700 30, Moravskoslezský kraj",poradna@alexandr.charita.cz,731 625 840,https://charita-sv-alexandra.cz/socialni-sluzby-a-aktivita/poradna-sv-alexandra/
Bezplatná poradna mezi paragrafy (český Krumlov),Odborné sociální poradenství,"5. května 251, český Krumlov 381 01, Jihočeský kraj",pravni.poradenstvi@krumlov.cz,774 110 124,http://poradna.krumlov.cz/w/-310/
"Poradna pro rodinu, manželství, mezilidské vztahy",Odborné sociální poradenství,"Palackého náměstí 97, Strakonice I 386 01, Jihočeský kraj",poradna@ops-poradnastrakonice.cz,727 809 070,http://rodinnaporadna-strakonice.cz/index.htm
Občanská poradna Moravské Budějovice,Odborné sociální poradenství,"nám. Míru 26, Moravské Budějovice 676 02, Kraj Vysočina",poradna.mb@optrebic.cz,777 720 165,https://www.optrebic.cz/kontakt/obcanska-poradna-moravske-budejovice/
Občanská poradna Havlíčkův Brod,Odborné sociální poradenství,"B. Němcové 188, Havlíčkův Brod 580 01, Kraj Vysočina",poradna@charitahb.cz,"777 736 048, 569 425 630, 731 604 742",https://hb.charita.cz/jak-pomahame/obcanska-poradna-havlickuv-brod/
Občanská poradna Humpolec,Odborné sociální poradenství,"Pobočka Máchova 1607, Humpolec 396 01, Kraj Vysočina",poradna@charitahb.cz,731 604 742,https://hb.charita.cz/jak-pomahame/obcanska-poradna-havlickuv-brod/
Občanská poradna Světlá nad Sázavou,Odborné sociální poradenství,"Sázavská 597, Světlá nad Sázavou 582 91, Kraj Vysočina",poradna@charitahb.cz,731 604 742,https://hb.charita.cz/jak-pomahame/obcanska-poradna-havlickuv-brod/
Poradna Cesta těhotenstvím,Odborné sociální poradenství,"českobratrská 1229/13, Moravská Ostrava (část) 702 00, Moravskoslezský kraj",poradna@dlanzivotu.cz,605 329 232,http://dlanzivotu.cz/nabizime/poradna-cesta-tehotenstvim/
Alzheimer poradna Vysočina,Odborné sociální poradenství,"Ždírec 43, Polná (část) 588 13, Kraj Vysočina",rypalova.m@alzheimerporadnavysocina.cz,561 111 323,www.alzheimerporadnavysocina.cz
Manželská a rodinná poradna,Odborné sociální poradenství,"Procházkova 818, Trutnov 541 01, Královéhradecký kraj",poradna@riaps.cz,"731 441 264, 499 814 890",http://www.riaps.cz/poradna/
Oblastní poradna Písek,Odborné sociální poradenství,"Bakaláře 43/6, Písek 397 01, Jihočeský kraj",ochpisek@seznam.cz,382 214 828,https://pisek.charita.cz/jak-pomahame/oblastni-poradna-pisek/
Odborné sociální poradenství,Odborné sociální poradenství,"5. května 1510, Milevsko 399 01, Jihočeský kraj",poradenstvi@socsluzbymilevsko.cz,702 133 122,https://www.socsluzbymilevsko.cz/odborne-socialni-poradenstvi-milevsko
VIDA centrum Prachatice,Odborné sociální poradenství,"Vodňanská 375, Prachatice 383 01, Jihočeský kraj",prachatice@vidacentrum.cz,775585163,http://www.vidacr.cz
Občanská poradna Tábor,Odborné sociální poradenství,"Purkyňova 1085/2, Tábor (část) 390 02, Jihočeský kraj",obcanskaporadna@tabor.charita.cz,732 485 038,https://tabor.charita.cz/sluzba/1102/
Občanská poradna Týn nad Vltavou,Odborné sociální poradenství,"Sakařova 755, Týn nad Vltavou 375 01, Jihočeský kraj",poradna@tyn.charita.cz,731 402 996,https://tyn.charita.cz/jak-pomahame/obcanska-poradna/
"Manželská a rodinná poradna PorCeTa, o.p.s.",Odborné sociální poradenství,"Smetanova 1284/32, Tábor (část) 390 02, Jihočeský kraj",horecka@porceta.cz,777 882 002,http://www.porceta.cz
Poradna pro lidi v nouzi,Odborné sociální poradenství,"Archiváře Teplého 1306, Jindřichův Hradec I 377 01, Jihočeský kraj",poradna@jhradec.charita.cz,"731 402 982, 605 849 877",https://jindrichuvhradec.charita.cz/sluzba/852/
Rodinná poradna Jindřichův Hradec,Odborné sociální poradenství,"Janderova 147, Jindřichův Hradec I 377 01, Jihočeský kraj",poradna@jh.cz,"702 148 771, 702 005 983",https://www.jh.cz/cs/mestsky-urad/odbory-uradu/odbor-socialnich-veci/rodinna-poradna/
"Občanská poradna Jihlava, z. s.",Odborné sociální poradenství,"Žižkova 1683/13, Jihlava (část) 586 01, Kraj Vysočina",info@obcanskaporadna.cz,567330164,http://obcanskaporadna.cz
"Poradna Bílého kruhu bezpečí, z.s., české Budějovice",Odborné sociální poradenství,"Riegrova 1756/51, české Budějovice 370 01, Jihočeský kraj",bkb.cbudejovice@bkb.cz,734479644,http://www.bkb.cz
Poradna Eva – Odborné sociální poradenství,Odborné sociální poradenství,"Žižkova tř. 309/12, české Budějovice 370 01, Jihočeský kraj",eva@dchcb.charita.cz,"731 402 833, 734 435 072",https://cbudejovice.charita.cz/sluzba/32/
Bezplatná poradna mezi paragrafy (Kaplice),Odborné sociální poradenství,"Náměstí 70, Kaplice 382 41, Jihočeský kraj",pravni.poradenstvi@krumlov.cz,774 110 124,http://poradna.krumlov.cz/w/pobocky-ckrumlov-kaplice-vetrni-215/
Bezplatná poradna mezi paragrafy (Trhové Sviny),Odborné sociální poradenství,"Žižkovo náměstí 40, Trhové Sviny 374 01, Jihočeský kraj",pravni.poradenstvi@krumlov.cz,774 110 124,http://poradna.krumlov.cz/w/pobocky-tsviny-nhrady-218/
Bezplatná poradna mezi paragrafy (Nové Hrady),Odborné sociální poradenství,"Nové Hrady 244, Nové Hrady (část) 373 33, Jihočeský kraj",pravni.poradenstvi@krumlov.cz,774 110 124,http://poradna.krumlov.cz/w/pobocky-tsviny-nhrady-218/
Bezplatná poradna mezi paragrafy (Větřní),Odborné sociální poradenství,"Šumavská 1, Větřní 382 11, Jihočeský kraj",pravni.poradenstvi@krumlov.cz,774110124,http://poradna.krumlov.cz/w/pobocky-ckrumlov-kaplice-vetrni-215/
Poradenské centrum - rovné šance pro všechny (české Budějovice),Odborné sociální poradenství,"česká 380/52, české Budějovice 370 01, Jihočeský kraj",osjihoceskaruze@centrum.cz,"386 360 262, 602 148 876",https://jihoceskaruze.cz/poradenske-centrum/
Středisko pro rodinu a mezilidské vztahy,Odborné sociální poradenství,"Nádražní 105/47, české Budějovice 370 01, Jihočeský kraj",spramv@gmail.com,387438703,http://www.rodinnaporadnacb.cz/stredisko-pro-rodinu
Občanská poradna Třebíč,Odborné sociální poradenství,"Přerovského 126/6, Třebíč 674 01, Kraj Vysočina",poradna.tr@optrebic.cz,724 304 718,https://www.optrebic.cz/
Poradna pro rodinu,Odborné sociální poradenství,"Dukelská 436/15, Jeseník 790 01, Olomoucký kraj",ppr.jesenik@ssp-ol.cz,584 414 035,https://www.ssp-ol.cz/poradny-pro-rodinu/rozcestnik
Poradna pro rodinu,Odborné sociální poradenství,"Palackého 2, Šumperk 787 01, Olomoucký kraj",ppr.sumperk@ssp-ol.cz,583 213 141,https://www.ssp-ol.cz/poradny-pro-rodinu/rozcestnik
Poradna pro rodinu,Odborné sociální poradenství,"Na Vozovce 622/26, Olomouc 779 00, Olomoucký kraj",ppr.olomouc@ssp-ol.cz,585 413 540,https://www.ssp-ol.cz/poradny-pro-rodinu/rozcestnik
Poradna pro rodinu,Odborné sociální poradenství,"Bezručovo nám. 9, Prostějov (část) 796 01, Olomoucký kraj",ppr.prostejov@ssp-ol.cz,582 345 013,https://www.ssp-ol.cz/poradny-pro-rodinu/rozcestnik
Poradna pro rodinu,Odborné sociální poradenství,"Velká Dlážka 44, Přerov I-Město 750 02, Olomoucký kraj",ppr.prerov@ssp-ol.cz,581 202 980,https://www.ssp-ol.cz/poradny-pro-rodinu/rozcestnik
Odborné sociální poradenství,Odborné sociální poradenství,"Karafiátová 5, Olomouc 779 00, Olomoucký kraj",pamatovacek@pamatovacek.cz,585 426 110,https://www.pamatovacek.cz/odborne-socialni-poradenstvi
Občanská poradna Vodňany,Odborné sociální poradenství,"Jiráskova 116, Vodňany II 389 01, Jihočeský kraj",poradna@tyn.charita.cz,731 402 996,https://tyn.charita.cz/jak-pomahame/obcanska-poradna/
Občanská poradna Veselí nad Lužnicí,Odborné sociální poradenství,"Budějovická 148, Veselí nad Lužnicí I 391 81, Jihočeský kraj",poradna@tyn.charita.cz,731 402 996,https://tyn.charita.cz/jak-pomahame/obcanska-poradna/
Služby pro rodinu při Jihočeské rozvojové o.p.s.,Odborné sociální poradenství,"Riegrova 1756/51, české Budějovice 2 (část) 370 01, Jihočeský kraj",prorodinu@jihoceskarozvojova.cz,724 509 578,https://www.jihoceskarozvojova.cz/sluzby/sluzby-pro-rodinu.html
Sociální poradna Kroměříž,Odborné sociální poradenství,"Ztracená 63, Kroměříž 767 01, Zlínský kraj",socialni.poradna@kromeriz.charita.cz,"733 755 847, 734 780 221",https://www.kromeriz.charita.cz/sluzby/socialni-poradna/
Kontaktní a poradenské centrum Plus,Odborné sociální poradenství,"Ztracená 63/1, Kroměříž 767 01, Zlínský kraj",sylvie.osickova@kromeriz.charita.cz,573 336 569,https://www.kromeriz.charita.cz/sluzba/108/
Dluhové poradenství Samaritán Otrokovice,Odborné sociální poradenství,"Moravní 936, Otrokovice (část) 765 02, Zlínský kraj",samaritan@otrokovice.charita.cz,"734 435 004, 734 435 003",https://www.otrokovice.charita.cz/sluzba/114/
"Centrum poradenství pro rodinné a partnerské vztahy, příspěvková organizace",Odborné sociální poradenství,"U Náhonu 5208, Zlín (část) 760 01, Zlínský kraj",ic@centrum-poradenstvi.cz,"774 405 682, 577 018 265, 577 018 265",http://www.centrum-poradenstvi.cz
Poradna pro závislosti Agarta,Odborné sociální poradenství,"Náměstí 84/17, Valašské Meziříčí 757 01, Zlínský kraj",poradna@agarta.cz,702 149 189,https://www.agarta.cz/
Poradna pro rodinu,Odborné sociální poradenství,"Svárov 323, Vsetín 755 01, Zlínský kraj",sarka.vaculikova@azylovydum.cz,739 633 350,https://www.azylovydum.cz/hledam-pomoc/poradna-pro-rodinu/
Poradna Centrum ÁčKO,Odborné sociální poradenství,"Husova 402/15, Valašské Meziříčí 757 01, Zlínský kraj",info@centrum-acko.cz,602 651 064,https://www.centrum-acko.cz/index.php/o-nas/poradna/poradna-detailni-popis-sluzby/
Odborné sociální poradenství - Poradna pro pečující,Odborné sociální poradenství,"Žerotínova 319/21, Valašské Meziříčí 757 01, Zlínský kraj",info@diakonievm.cz,"571 629 084, 571 629 085",https://www.diakonievm.cz/nase-sluzby/sluzby-k-podpore-domaci-pece/poradna-pro-pecujici/
Global Partner,Odborné sociální poradenství,"tř. Václava Klementa 209/11, Mladá Boleslav I 293 01, Středočeský kraj",info@gp.cz,603546028,https://www.gp.cz/
Poradna Sv. Rity - odborné sociální poradenství,Odborné sociální poradenství,"Nový Hrozenkov 504, Nový Hrozenkov 756 04, Zlínský kraj",poradna@nhrozenkov.charita.cz,"571 410 087, 739 726 109, 728 324 494",https://www.nhrozenkov.charita.cz/kontakty/?s=poradna-sv-rity
Občanská poradna Uherské Hradiště,Odborné sociální poradenství,"Růžová 1238, Uherské Hradiště (část) 686 01, Zlínský kraj",obcanska.poradna@uhradiste.charita.cz,606 453 502,https://www.uhradiste.charita.cz/nase-sluzby/obcanska-poradna-uherske-hradiste/
Odborné sociální poradenství Uherský Brod,Odborné sociální poradenství,"Přemysla Otakara II. 2476, Uherský Brod (část) 688 01, Zlínský kraj",lenka.koncitikova@uhbrod.charita.cz,735 713 786,https://www.uhbrod.charita.cz/socialni-sluzby/odborne-socialni-poradenstvi/
Občanská poradna Charity Zlín,Odborné sociální poradenství,"Zálešná I 4057, Zlín (část) 760 01, Zlínský kraj",poradna@zlin.charita.cz,"739 245 974, 739 245 973",https://www.zlin.charita.cz/adresar/?s=odborne-socialni-a-dluhove-poradenstvi#directory-detail
Poradna Modrého kříže v čR-Poradna Karviná,Odborné sociální poradenství,"Karola Śliwky 149/17, Karviná-Fryštát 733 01, Moravskoslezský kraj",karvina@modrykriz.org,731 494 695,https://www.modrykriz.org/karvina/
Poradna Modrého kříže v čR - Frýdek-Místek,Odborné sociální poradenství,"Malý Koloredov 811, Frýdek 738 01, Moravskoslezský kraj",frydek-mistek@modrykriz.org,724 087 221,https://www.modrykriz.org/
Poradna Národní rady osob se zdravotním postižením Praha,Odborné sociální poradenství,"Partyzánská 1/7, Holešovice (Praha 7) 170 00, Hlavní město Praha",poradnanrzp@nrzp.cz,266753427,https://nrzp.cz/
Poradna Národní rady osob se zdravotním postižením Olomouc,Odborné sociální poradenství,"Slovenská 594, Olomouc 779 00, Olomoucký kraj",poradanaolomouc@nrzp.cz,585242865,https://nrzp.cz/
Poradna Národní rady osob se zdravotním postižením Ostrava,Odborné sociální poradenství,"Poradna Národní rady osob se zdravotním postižením, Moravská Ostrava (část) 702 00, Moravskoslezský kraj",poradnaostrava@nrzp.cz,736751206,https://nrzp.cz/
Poradna Národní rady osob se zdravotním postižením Brno,Odborné sociální poradenství,"Cejl 892/32, Zábrdovice (Brno-střed) 602 00, Jihomoravský kraj",poradnabrno@nrzp.cz,736751214,https://nrzp.cz/
Poradna Národní rady osob se zdravotním postižením Plzeň,Odborné sociální poradenství,"náměstí Republiky 202/28, Plzeň 1-Bolevec (část) 301 00, Plzeňský kraj",poradnaplzen@nrzp.cz,377224879,https://nrzp.cz/
Poradna Národní rady osob se zdravotním postižením Liberec,Odborné sociální poradenství,"Voroněžská 144/20, Liberec III-Jeřáb (část) 460 01, Liberecký kraj",poradnaliberec@nrzp.cz,731 504 057,https://nrzp.cz/
Poradna Národní rady osob se zdravotním postižením Otrokovice,Odborné sociální poradenství,"tř. Osvobození 1388, Otrokovice (část) 765 02, Zlínský kraj",poradnaotrokovice@nrzp.cz,739 577 168,https://nrzp.cz/
Poradna Národní rady osob se zdravotním postižením české Budějovice,Odborné sociální poradenství,"Staroměstská 2608, české Budějovice 370 04, Jihočeský kraj",poradnacb@nrzp.cz,736 751 209,https://nrzp.cz/
Poradna Národní rady osob se zdravotním postižením Pardubice,Odborné sociální poradenství,"K Blahobytu 1763, Zelené Předměstí (Pardubice I) 530 02, Pardubický kraj",poradnapardubice@nrzp.cz,736751217,https://nrzp.cz/
Poradna Rožnov,Odborné sociální poradenství,"Zemědělská 500, Rožnov pod Radhoštěm (část) 756 61, Zlínský kraj",roznov@poradnaprozeny.eu,604 601 714,https://www.poradnaprozeny.eu/
Občanská poradna Pod křídly,Odborné sociální poradenství,"Nábřeží 268, Valašské Meziříčí 757 01, Zlínský kraj",poradna@opvm.cz,571 629 068,http://www.opvm.cz/
Centrum komplexní péče ve Zlínském kraji Kroměříž,Odborné sociální poradenství,"Velehradská 625/4, Kroměříž 767 01, Zlínský kraj",gambling.zk@podaneruce.cz,777 293 960,https://podaneruce.cz/
Centrum komplexní péče ve Zlínském kraji Uherské hradiště,Odborné sociální poradenství,"Protzkarova 51, Uherské Hradiště (část) 686 01, Zlínský kraj",gambling.zk@podaneruce.cz,777 293 960,https://podaneruce.cz/
Centrum komplexní péče ve Zlínském kraji Zlín,Odborné sociální poradenství,"třída Tomáše Bati 202, Zlín (část) 763 02, Zlínský kraj",gambling.zk@podaneruce.cz,777 293 960,https://podaneruce.cz/
"Logos - poradna pro děti, dospívající a jejich rodiče",Odborné sociální poradenství,"Pod Stráněmi 2505, Zlín (část) 760 01, Zlínský kraj",eliasova@unko.cz,"577 434 428, 733 531 350",https://www.unko.cz/
Občanská poradna Vsetín,Odborné sociální poradenství,"Jiráskova 419, Vsetín 755 01, Zlínský kraj",poradna@vkci.cz,774 262 243,http://www.vkci.cz/
Poradenské centrum ZEBRA,Odborné sociální poradenství,"Masarykovo náměstí 1079, Valašské Klobouky 766 01, Zlínský kraj",poradnazebra@gmail.com,608 899 408,http://pivecka-ops.cz/?page_id=1948
VIDA centrum Jemnice,Odborné sociální poradenství,"Husova 2 , Jemnice 675 31, Kraj Vysočina",jemnice@vidacentrum.cz,775585160,http://www.vidacr.cz
"Poradna Bílého kruhu bezpečí, z.s., Plzeň",Odborné sociální poradenství,"Jungmannova 153/1, Plzeň 3 - Jižní předměstí 301 00, Plzeňský kraj",bkb.plzen@bkb.cz,"734 157 200, 773 551 311",https://www.bkb.cz/
Adiktologická a preventivní ambulance - 21,Odborné sociální poradenství,"Plachého 812/6, Plzeň 3 - Jižní předměstí 301 00, Plzeňský kraj",21ambulance@cppt.cz,602 686 893,https://www.cppt.cz/nase-zarizeni/adiktologicka-a-preventivni-ambulance-21
"Ambulance pro nelátkové závislosti, CPPT, o.p.s.",Odborné sociální poradenství,"Tylova 707/20, Plzeň 3 - Jižní předměstí 301 00, Plzeňský kraj",g.ambulance@cppt.cz,724 384 461,https://www.cppt.cz/nase-zarizeni/ambulance-pro-nelatkove-zavislosti
Rodinná poradna Domažlice,Odborné sociální poradenství,"Baldovská 583, Domažlice 344 01, Plzeňský kraj",poradna@cssdomazlice.cz,379 412 740,https://www.cssdomazlice.cz/rodinna-poradna-domazlice/o-nas/
"Rodinná poradna pro manželství, partnerské a mezilidské vztahy Tachov",Odborné sociální poradenství,"Panenská 2068, Tachov 347 01, Plzeňský kraj",rod.poradna@csstachov.cz,"777 483 083, 374 701 110",https://www.csstachov.cz/rodinna-poradna/o-poradne
"člověk v tísni, o.p.s.",Odborné sociální poradenství,"Mikulášské náměstí 552/17, Plzeň 2-Slovany-Východní Předměstí 326 00, Plzeňský kraj",jakub.palecek@clovekvtisni.cz,"777 367 889, 377 240 090",https://www.clovekvtisni.cz/co-delame/socialni-prace-v-cr/plzensky-kraj
Terén pro ohrožené osoby,Odborné sociální poradenství,"Resslova 332/12, Plzeň 3-Jižní Předměstí (část) 301 00, Plzeňský kraj",teren@diakoniezapad.cz,731 125 836,https://www.diakoniezapad.cz/sluzby-diakonie-zapad/pro-lidi-v-nouzi/teren-pro-ohrozene-osoby/
Poradna pro občany v nesnázích Rokycany,Odborné sociální poradenství,"Svazu bojovníků za svobodu 68, Rokycany 337 01, Plzeňský kraj",poradna@diakoniezapad.cz,775 720 493,https://www.diakoniezapad.cz/sluzby-diakonie-zapad/pro-lidi-v-nouzi/poradna-pro-obcany-v-nesnazich/
Poradna pro občany v nesnázích Klatovy,Odborné sociální poradenství,"Vídeňská 181, Klatovy I 339 01, Plzeňský kraj",poradna@diakoniezapad.cz,775 720 493,https://www.diakoniezapad.cz/sluzby-diakonie-zapad/pro-lidi-v-nouzi/poradna-pro-obcany-v-nesnazich/
Poradna pro občany v nesnázích Plzeň,Odborné sociální poradenství,"Resslova 332/12, Plzeň 3-Jižní Předměstí (část) 301 00, Plzeňský kraj",poradna@diakoniezapad.cz,775 720 493,https://www.diakoniezapad.cz/sluzby-diakonie-zapad/pro-lidi-v-nouzi/poradna-pro-obcany-v-nesnazich/
Občanská poradna při Charitě Horažïovice,Odborné sociální poradenství,"Palackého 1061, Horažïovice 341 01, Plzeňský kraj",poradna@horazdovice.charita.cz,730 551 603,https://horazdovice.charita.cz/jak-pomahame/obcanska-poradna/
Sociální poradna Racek,Odborné sociální poradenství,"Havlíčkova 110, Sušice I 342 01, Plzeňský kraj",poradna@susice.charita.cz,"731 402 920, 376 523 324",https://www.susice.charita.cz/jak-pomahame/odborne-socialni-poradenstvi/
"Poradna pro rodinu, manželství a mezilidské vztahy",Odborné sociální poradenství,"Balbínova 59, Klatovy I 339 01, Plzeňský kraj",musskt@musskt.cz,"376 347 106, 376 347 107",https://www.musskt.cz/muss/poradenstvi.asp
OBčANSKÁ PORADNA Plzeň o.p.s.,Odborné sociální poradenství,"Koterovská 640/41, Plzeň 2-Slovany-Východní Předměstí 326 00, Plzeňský kraj",poradna@opplzen.cz,"377 456 468, 777 964 563, 777 944 563",https://www.opplzen.cz/
Sociální poradna Klatovy,Odborné sociální poradenství,"nám. Míru 63, Klatovy I 339 01, Plzeňský kraj",poradna@klatovy.charita.cz,"731 433 044, 376 382 040",https://www.charitakt.cz/J-P/osoby-v-nepriznive-socialni-situaci/socialni-poradna-och-klatovy/
Poradna pro ženy dívky Plzeň,Odborné sociální poradenství,"Husovo náměstí 584/2, Plzeň 3-Jižní Předměstí (část) 301 00, Plzeňský kraj",plzen@poradnaprozeny.eu,731 749 774,https://www.poradnaprozeny.eu/plzen/
"Poradna pro rodinu, manželství a mezilidské vztahy, o.p.s.",Odborné sociální poradenství,"Denisovo nábřeží 1000/4, Plzeň 3 - Východní předměstí 301 00, Plzeňský kraj",ilonahruzova@seznam.cz,775 263 426,https://www.poradnaplzen.cz/
Psychiatrická nemocnice v Dobřanech,Odborné sociální poradenství,"Ústavní 2, Dobřany 334 41, Plzeňský kraj",podatelna@pld.cz,377 813 111,https://www.pnvd.cz/
Sociální poradna,Odborné sociální poradenství,"Pod Svatoborem 56, Sušice II 342 01, Plzeňský kraj",pillerova@socialni-susice.cz,723 857 194,https://www.socialni-susice.cz/nase-sluzby/odborne-socialni-poradenstvi/
Substituční centrum Plzeň,Odborné sociální poradenství,"Korandova 2927/14, Plzeň 3-Jižní Předměstí (část) 301 00, Plzeňský kraj",info@ulice-plzen.com,"725 178 656, 728 243 690",https://www.ulice-plzen.com/
SPOLU DOMA - odborné sociální poradenství,Odborné sociální poradenství,"Sadová 634/8, Plzeň 4-Doubravka 312 00, Plzeňský kraj",hospic@domov-plzen.cz,733 300 455,https://domov-plzen.cz/
Základní škola pro žáky se specifickými poruchami chování,Pedagogicko-psychologické poradny,"Na Zlíchově 206/6, Hlubočepy, 152 00 Praha 5",speczs@volny.cz,222 262 014,https://www.speczs.cz/
"Pedagogicko-psychologická poradna pro Prahu 1,2 a 4",Pedagogicko-psychologické poradny,"Francouzská 260/56, Vinohrady, 101 00 Praha 10",poradna@ppppraha.cz,267 997 011,http://www.ppppraha.cz/
