Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka,web,Matched
Mgr. Jarmila Krajčová - psycholog,Psychologická ambulance,"Na Splávku 1182, Uherské Hradiště (část) 686 01, Zlínský kraj",jarkraj@seznam.cz,+420777624059,https://jarmilakrajcova.webnode.cz/,,matched
Mudr. Iva Zapletalová - psychiatr,Psychiatrická ambulance,"nám. Míru 350/2A, Kroměříž 767 01, Zlínský kraj",,+420573331629,https://www.firmy.cz/detail/2459422-mudr-iva-zapletalova-kromeriz.html,,unmatched
PRIVÁTNÍ PSYCHIATRICKÁ ORDINACE KROMěřÍŽ s.r.o.,Psychiatrická ambulance,"náměstí Míru 3760/11, Kroměříž 767 01, Zlínský kraj",,+420573338786,https://www.poliklinika-km.cz/psychiatrie/,,unmatched
PSYCHOLOGICKÉ CENTRUM KROMěřÍŽ s.r.o.,Psychologická ambulance,"Jánská 197/9 , Kroměříž 767 01, Zlínský kraj",psychologicke.km@centrum.cz,,https://psychologicke-centrum-kromeriz.webnode.cz/,,matched
AMBULANCE KLINICKÉ PSYCHOLOGIE A ADIKTOLOGIE KROMěřÍŽ,Psychologická ambulance,"Tovačovského 437, Kroměříž 767 01, Zlínský kraj",ambulancekm@seznam.cz,,https://www.ambulancekm.cz/,,matched
Mgr.Lucie Netopilová - Psychologická praxe,Psychologická ambulance,"Pilařova 8, Kroměříž 767 01, Zlínský kraj",netopilovalucie@gmail.com,+420734378911,http://poradnaln.cz/kontakt.html,,matched
PhDr. Jarmila Škarpichová,Psychologická ambulance,"Hrbová 1561, Vsetín 755 01, Zlínský kraj",,,http://klinickypsychologvsetin.cz,,unmatched
Psycholog Vsetín - Mgr. Miluše Fišerová,Psychologická ambulance,"Dolní náměstí 1356 , Vsetín 755 01, Zlínský kraj",info@psychologvsetin.cz,+420605224454,https://psychologvsetin.cz/,,matched
Mgr. Petra Macáková - Konzultárna,Psychoterapeutická ambulance,"Josefa Sousedíka 1204, Vsetín 755 01, Zlínský kraj",macakova.petra@gmail.com,+420776456954,www.facebook.com/konzultarnavsetin,https://www.facebook.com/konzultarnavsetin,matched
Mgr. Miluše Pixová - Psychologická poradna pro děti a dospělé,Psychologická ambulance,"Jírovcova 1624/13, české Budějovice 3 (část) 370 01, Jihočeský kraj",,+420774853275,https://www.doktor.cz/doktor/mgr-miluse-pixova-soudni-lekarstvi-psychologie-53100/mgr-miluse-pixova-psychologicka-poradna-pro-deti-a-dospele-jirovcova-1624-13-ceske-budejovice-3-ceske-budejovice-370-01-66357,,unmatched
Psychiatrická ordinace MUDr. Jiří Bartoš,Psychiatrická ambulance,"Bezručova 1098/10, Karlovy Vary 360 01, Karlovarský kraj",bartos.3@tiscali.cz,+420353222879,https://mudr-jiri-bartos-kv.cz/,,matched
MUDr. Václav Ferus - Psychiatrická ambulance,Psychiatrická ambulance,"Krymská 1799/25A, Karlovy Vary 360 01, Karlovarský kraj",vaclav.ferus@seznam.cz,+420353230878,https://www.doktor.cz/doktor/mudr-vaclav-ferus-psychiatrie-navykove-nemoci-9110/mudr-vaclav-ferus-u-nemocnice-1161-karlovy-vary-36301-10622,,matched
MUDr. Vladimír Beran - Psychiatrie,Psychiatrická ambulance,"Myslbekova 1596, Karlovy Vary 360 01, Karlovarský kraj",,+420353230878,https://www.znamylekar.cz/vladimir-beran-2/psychiatr/karlovy-vary,,unmatched
Psychiatrie Karlovy Vary - MUDr. Vladislav Zelenka,Psychiatrická ambulance,"Myslbekova 1596/4, Karlovy Vary 360 01, Karlovarský kraj",vl.zelenka@gmail.com,+420774317577,https://psychiatriekv.cz/,,matched
MUDr. Karel Moravec Recovery clinic a.s.,Psychiatrická ambulance,"Lidická 12, Karlovy Vary 360 01, Karlovarský kraj",,,https://www.recoveryclinic.cz/,,unmatched
MUDr. Jitka Bártková,Psychiatrická ambulance,"Bezručova 1098, Karlovy Vary 360 01, Karlovarský kraj",bartkova.jitka@seznam.cz,,https://mudr-jitka-bartkova.modernilekar.cz/,,matched
MUDr. Petr Kalina,Psychiatrická ambulance,"Myslbekova 1596/4, Karlovy Vary 360 01, Karlovarský kraj",,+420353230875,https://www.doktor.cz/doktor/mudr-petr-kalina-psychiatrie-soudni-lekarstvi-22320/mudr-petr-kalina-myslbekova-1596-4-karlovy-vary-360-01-29463,,unmatched
FOX MEDICAL S.R.O. psychiatrie - psychologie,Psychiatrická ambulance,"Nám. dr. Milady Horákové 8, Karlovy Vary 360 01, Karlovarský kraj",foxmedical.lekar@gmail.com,+420353112272,https://psychiatrie-psychologie-kvary.webnode.cz/,,matched
Psychologická ambulance - PhDr. Naděžda Němcová,Psychologická ambulance,"Krymská 1799, Karlovy Vary 360 01, Karlovarský kraj",nemcova.n@seznam.cz,+420353236329,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/92-nemcova-nadezda-phdr,,matched
Psychologie Karlovy Vary,Klinický psycholog,"Fibichova 763/2a, Karlovy Vary 360 01, Karlovarský kraj",,+420725159302,https://www.psychologiekv.cz/,,matched
Mgr. Veronika Karásková psycholog v Karlových Varech,Psychologická ambulance,"Majakovského 707/29, Karlovy Vary 360 01, Karlovarský kraj",,+420731000569,https://www.psychologkaraskova.cz/,,matched
PhDr. Jiří Bauer,Psychologická ambulance,"Hornická 1613, Sokolov 356 01, Karlovarský kraj",bauer.j@volny.cz,,https://phdr-jiri-bauer-phd.webnode.cz/,,matched
PhDr. Jiří Bauer Karlovy Vary,Psychologická ambulance,"Bezručova 10, Karlovy Vary 360 01, Karlovarský kraj",bauer.j@volny.cz,,https://phdr-jiri-bauer-phd.webnode.cz/,,matched
"Psychologie u orloje s.r.o. , Mgr.Benická Erika",Psychologická ambulance,"Bezručova 1098, Karlovy Vary 360 01, Karlovarský kraj",benicka@psychologieuorloje.cz,+420773332323,https://www.psychologieuorloje.cz/,,matched
Psycholog s.r.o.,Psychologická ambulance,"Krymská 1735/37, Karlovy Vary 360 01, Karlovarský kraj",info@psycholog-sro.cz,+420774492626,https://www.psycholog-sro.cz/,,matched
Psychologie KV. s.r.o - Mgr. Marcela Kelucová,Psychologická ambulance,"Bezručova 1321/8, Karlovy Vary 360 01, Karlovarský kraj",,,https://www.registrlekaru.cz/ordinace-psychologie-marcela-kelucova-20975/,,unmatched
Terapeut Mgr. Jakub Kovář,Psychoterapeutická ambulance,"T. G. Masaryka 12, Karlovy Vary 360 01, Karlovarský kraj",kuba.kovar@gmail.com,+420608384120,http://www.kovarjakub.cz/,,matched
Ordinace klinické psychologie Mgr. Tomáš Hrubý,Klinický psycholog,"T. G. Masaryka 623/12, Karlovy Vary 360 01, Karlovarský kraj",,,http://tomashrubykv.cz/,,unmatched
PhDr. Anna Kotrčová - Klinický psycholog,Klinický psycholog,"Komenského 186/5, Karlovy Vary 360 01, Karlovarský kraj",kotrcova.anna@seznam.cz,,https://phdr-anna-kotrcova.zdravotniregistr.cz/#utm_source=search.seznam.cz&utm_medium=ppd&utm_content=hledani&utm_term=psycholog%20karlovy%20vary&utm_campaign=firmy.cz-384919,,matched
"CEDUP, s.r.o., MUDr. Blanka Stefanovičová",Psychiatrická ambulance,"Sokolovská 2262, Sokolov 356 01, Karlovarský kraj",blankastefanovicova@seznam.cz,,https://www.detskapsychiatriesokolov.cz/,,matched
MUDr. Tomešová Martina,Psychiatrická ambulance,"Rokycanova 1756, Sokolov 356 01, Karlovarský kraj",martina.tomes@centrum.cz,+420602976127,https://www.ordinace.cz/ordinace/redesign/index.php?id=1904,,matched
MUDr. Moravcová Michaela - psychiatr,Psychiatrická ambulance,"Rokycanova 1756, Sokolov 356 01, Karlovarský kraj",,+420352308245,https://lpzsokolov.cz/index.php/lekari#mudr-moravcova-michaela,,unmatched
PSYCHOLOG s.r.o. (Sokolov),Psychologická ambulance,"Petra Chelčického 491, Sokolov 356 01, Karlovarský kraj",info@psycholog-sro.cz,+420774492626,http:// www.psycholog-sro.cz,,matched
MUDr. Vasilij Storčák,Psychiatrická ambulance,"Bezručova 1098/10, Karlovy Vary 360 01, Karlovarský kraj",,+420353972314,https://www.znamylekar.cz/vasilij-storcak/psychiatr/karlovy-vary,,unmatched
MUDr. Jana Pechová,Psychiatrická ambulance,"Komenského 515, Mariánské Lázně 353 01, Karlovarský kraj",jana.pechova@volny.cz,+420733392895,https://www.firmy.cz/detail/12876357-mudr-jana-pechova-marianske-lazne.html,,matched
MUDr. Barbora Zahradníková,Psychiatrická ambulance,"Valdštejnova 682/20, Cheb 350 02, Karlovarský kraj",barbora.zahradnikova@seznam.cz,+420354430001,https://www.zlatestranky.cz/profil/H691323,,matched
MUDr. Vladimír čapek,Psychiatrická ambulance,"Hradební 18, Cheb 350 02, Karlovarský kraj",vlad.capek@tiscali.cz,+420354422330,https://www.navstevalekare.cz/lekari/psychiatr--psychiatrie-s51017/karlovarsky-kraj-k302/cheb-o514/cheb-m3945/mudr-vladimir-capek-d6821.html,,matched
Psychiatrie - psychoterapie s.r.o.,Psychiatrická ambulance,"Hlavní třída 737/13, Mariánské Lázně 353 01, Karlovarský kraj",pravo.o@seznam.cz,+420720058922,https://nrpzs.uzis.cz/detail-135139-psychiatrie-psychoterapie-s-r-o.html,,matched
Klinická psychologie Monika Kopárková s. r. o.,Klinický psycholog,"Divadelní nám. 593/3, Cheb 350 02, Karlovarský kraj",mkoparkova@gmail.com,,https://www.koparkovamonika.cz/,,matched
Mgr. Radek Karchňák - Ordinace klinické psychologie a psychoterapie,Klinický psycholog,"Hradební 1096/18, Cheb 350 02, Karlovarský kraj",info@personalconsulting.cz,+420723887881,https://www.firmy.cz/detail/2481182-mgr-radek-karchnak-ordinace-klinicke-psychologie-a-psychoterapie-cheb.html,,matched
MUDr. Magdalena Boříková Vojtková,Psychiatrická ambulance,"Jablonského 34, Plzeň 2-Hradiště 326 00, Plzeňský kraj",mborikovavojtkova@seznam.cz,,https://mudr-magdalena-borikova-vojtkova.narodnizdravotniregistr.cz/,,matched
"Psychiatrie MUDr. Fritzová, s.r.o.",Psychiatrická ambulance,"Tylova 502/39, Plzeň 1-Bolevec (část) 301 00, Plzeňský kraj",jana.fritzova@iex.cz,+420377328503,https://www.firmy.cz/detail/12865783-psychiatrie-mudr-fritzova-plzen-jizni-predmesti.html,,matched
MGR. ET BC. JANA SLADKÁ,Psychoterapeutická ambulance,"K Remízku 476/54, Plzeň 1-Severní Předměstí (část) 301 00, Plzeňský kraj",mgr.jana.sladka@seznam.cz,+420775287571,https://www.zivot-je-hra.cz/,,matched
Psychordinace Smrková s.r.o.,Psychiatrická ambulance,"Smrková 1015/23, Plzeň - Doubravka 312 00, Plzeňský kraj",ordinace@psychordinace.cz,+420371430090,https://www.psychordinace.cz/,,matched
MUDr. Magdaléna Boháčová,Psychiatrická ambulance,"Guldenerova 992, Plzeň 2-Slovany-Východní Předměstí 326 00, Plzeňský kraj",,+420731085300,https://mudr-magdalena-bohacova.business.site/,,unmatched
Psychiatrie a Psychoterapie MUDr. Bornová Libuše,Psychiatrická ambulance,"Poštovní 783/1, Plzeň 4-Újezd 312 00, Plzeňský kraj",bornova@volny.cz,+420377521180,https://www.zivefirmy.cz/bornova-libuse-mudr-_f1047322,,matched
Mgr. Iva Matějčková Zezulová,Psychologická ambulance,"T. G. Masaryka 991, Tachov 347 01, Plzeňský kraj",zezulova@seznam.cz,+420732110025,https://www.firmy.cz/detail/1355618-mgr-iva-matejckova-zezulova-tachov.html,,matched
Samostatná ordinace lékaře psychiatra,Psychiatrická ambulance,"Václavská 1560, Tachov 347 01, Plzeňský kraj",dallingerova@cquick.cz,+420374718271,https://www.tvuj-lekar.cz/69979090/45335/samostatna-ordinace-lekare-psychiatra,,matched
A-Shine s.r.o.,Psychiatrická ambulance,"Přimdská 501, Bor 348 02, Plzeňský kraj",ambulance.smrkova@gmail.com,+420777732244,https://www.a-shine.cz/,,matched
MUDr. Zdeňka Böhmová,Psychiatrická ambulance,"Kostelní 168, Domažlice 344 01, Plzeňský kraj",bohmova.zdenka@email.cz,+420608701387,https://psychiatriejinak.cz/#utm_source=firmy.cz&utm_medium=ppd&utm_campaign=firmy.cz-12845336,,matched
MUDr. Viliam Janáč,Psychiatrická ambulance,"Dukelská 39, Domažlice 344 01, Plzeňský kraj",janac.viliam@post.cz,+420379725814,https://www.firmy.cz/detail/384809-mudr-viliam-janac-domazlice-tynske-predmesti.html,,matched
Psychiatrie-Klatovy s.r.o.,Psychiatrická ambulance,"Vídeňská 87, Klatovy IV 339 01, Plzeňský kraj",eva.jilkova@psychiatrie-klatovy.cz,+420770191282,https://psychiatrie-klatovy.cz/,,matched
MUDr. Jana Bytelová,Psychiatrická ambulance,"Plánická 5, Klatovy I 339 01, Plzeňský kraj",,+420601165441,https://www.firmy.cz/detail/13425689-mudr-jana-bytelova-klatovy-i.html,,unmatched
MUDr. Zdeňka Nejdlová,Psychiatrická ambulance,"U nemocnice 128, Domažlice 344 01, Plzeňský kraj",,+420603256559,https://www.firmy.cz/detail/384787-mudr-zdenka-nejdlova-domazlice-horejsi-predmesti.html,,unmatched
"Psychiatrická praxe, s.r.o.",Psychiatrická ambulance,"Hostašova 152, Klatovy IV 339 01, Plzeňský kraj",martabastarova@email.cz,+420376315282,https://www.firmy.cz/detail/12865716-psychiatricka-praxe-klatovy-iv.html,,matched
"Mgr. Hejduk Eduard, PaeDr.PhD.",Psychologická ambulance,"čechova 2641/44, Plzeň 3 - Jižní předměstí 301 00, Plzeňský kraj",hejdu@inel.cz,+420602835444,http://www.medisante.cz/,,matched
"Mgr. Kozová Naděžda, PhDr.",Psychologická ambulance,"čechova 2641/44, Plzeň 3 - Jižní předměstí 301 00, Plzeňský kraj",kozova@inel.cz,+420602825865,http://www.medisante.cz/,,matched
MUDr. Iva Růžičková,Psychiatrická ambulance,"Bezručova 153/9, Plzeň 1-Bolevec (část) 301 00, Plzeňský kraj",iva.ruzickova@inel.cz,+420774675218,http://www.medisante.cz/,,matched
PhDr. Šteklová Iva,Psychologická ambulance,"Bezručova 153/9, Plzeň 1-Severní Předměstí (část) 301 00, Plzeňský kraj",steklova@inel.cz,+420776256837,http://www.medisante.cz/,,matched
MUDr. Prachová Jana,Psychiatrická ambulance,"Slovanská 244/27, Plzeň 2-Slovany-Východní Předměstí 326 00, Plzeňský kraj",prachova@inel.cz,+420377321451,http://www.medisante.cz/,,matched
MUDr. Kylar Martin,Psychiatrická ambulance,"Sokolovská 77, Plzeň 1-Severní Předměstí (část) 323 00, Plzeňský kraj",martin.kylar@email.cz,+420734691521,http://psychiatrie-kylar.cz/,,matched
Mgr. Vladimír Stuchl,Psychologická ambulance,"Karlovarská 99, Plzeň 1-Bolevec (část) 323 00, Plzeňský kraj",stuchl@inel.cz,+420734768953,http://plzenskypsycholog.cz/,,matched
MUDr. Jaroslava Murgašová,Psychiatrická ambulance,"Tylova 502/39, Plzeň 3 - Jižní předměstí 301 00, Plzeňský kraj",,+420608703358,https://murgasova.cz/,,matched
MUDr. Smolová Irena,Psychiatrická ambulance,"Purkyňova 1024, Plzeň 3 - Jižní předměstí 301 00, Plzeňský kraj",,+420377321947,https://www.znamylekar.cz/irena-smolova/psychiatr/plzen,,unmatched
MUDr. Lenka Puflerová,Psychiatrická ambulance,"Slovanská 244/27, Plzeň 2-Slovany-Východní Předměstí 326 00, Plzeňský kraj",puflerova@centrum.cz,+420725902902,https://www.firmy.cz/detail/12829455-mudr-lenka-puflerova-psychiatrie-plzen-vychodni-predmesti.html,,matched
Psychologie Plzeň,Psychologická ambulance,"Hálkova 26, Plzeň 3-Jižní Předměstí (část) 301 00, Plzeňský kraj",info@psychologieplzen.cz,+420737455258,https://www.psychologieplzen.cz/,,matched
PhDr. Iva Gregorová Ph.D.,Klinický psycholog,"Masarykova 1132/62, Plzeň - Doubravka 312 00, Plzeňský kraj",i.gregorova@centrum.cz,+420775574570,https://plzen-psycholog.cz/,,matched
PhDr. Bc. Martina Rezková,Psychologická ambulance,"Francouzská tř. 2080/4, Plzeň 2-Slovany-Východní Předměstí 326 00, Plzeňský kraj",martina.rezkova@seznam.cz,+420603923951,https://www.psychologrezkova.cz/,,matched
Psychologická ambulance Domažlice s.r.o.,Psychologická ambulance,"Paroubkova 228, Domažlice 344 01, Plzeňský kraj",vtylova@gmail.com,+420774224961,https://psycholog-domazlice.cz/,,matched
"PhDr. Terézia Nováková, psychologická ordinace s.r.o.",Psychologická ambulance,"Tyršova 260, Klatovy IV 339 01, Plzeňský kraj",,+420376322688,https://www.firmy.cz/detail/13179143-phdr-terezia-novakova-psychologicka-ordinace-s-r-o-klatovy-iv.html,,unmatched
Mgr. Jaroslav Janský,Psychologická ambulance,"Vaňkova 348, Klatovy II 339 01, Plzeňský kraj",psychologicka.praxe@gmail.com,+420603201446,https://www.psychologickapraxe.com/,,matched
Marie Kutilová,Psychoterapeutická ambulance,"U Kapličky 386, Sušice I 342 01, Plzeňský kraj",mankak@tiscali.cz,+420606710631,http://www.poradnaukaplicky.cz/kontakt.html,,matched
Jan Pechar,Psychoterapeutická ambulance,"Holostřevy 84, Bor 348 02, Plzeňský kraj",jpechar@centrum.cz,+420777156111,http://www.janpechar.cz/,,matched
"Soňa černá, DiS. - TERAPIE PLZEň",Psychoterapeutická ambulance,"Partyzánská 698, Plzeň 4 - Lobzy 312 00, Plzeňský kraj",sona@terapiejakocesta.cz,+420777570658,https://www.terapiejakocesta.cz/,,matched
Psychoterapeutické centrum PSYCHOLOG PLZEň,Psychoterapeutická ambulance,"Pražská 15, Plzeň 3-Vnitřní Město 301 00, Plzeňský kraj",poradna@psycholog-plzen.cz,,https://psycholog-plzen.cz/,,matched
Mgr. Kateřina Jirková,Psychoterapeutická ambulance,"Vrchlického 293, Rokycany 337 01, Plzeňský kraj",katerina@jirkova.com,+420777013216,http://psychoterapie-rokycany.cz/,,matched
vrba - centrum psychické péče,Psychiatrická ambulance,"alej Svobody 659/29, Plzeň 1-Severní Předměstí (část) 323 00, Plzeňský kraj",sestra@psychiatrie.help,+420775307011,https://psychiatrie.help/,,matched
VIDA centrum Brno,Odborné sociální poradenství,"Běhounská 2/22, Brno-město (část) 602 00, Jihomoravský kraj",brno@vidacentrum.cz,+420775585156,www.vidacr.cz,https://www.vidacr.cz,matched
VIDA centrum Šumperk,Odborné sociální poradenství,"M. R. Štefánika 318/1, Šumperk 787 01, Olomoucký kraj",sumperk@vidacentrum.cz,+420775585155,https://www.vidacr.cz,,matched
VIDA centrum Pardubice,Odborné sociální poradenství,"Perštýnské nám. 55 (budova Evropského spolkového domu, Pardubice-Staré Město 530 02, Pardubický kraj",pardubice@vidacentrum.cz,+420775585157,www.vidacr.cz,https://www.vidacr.cz,matched
VIDA centrum Kolín,Odborné sociální poradenství,"U Křižovatky 608, Kolín I 280 02, Středočeský kraj",kolin@vidacentrum.cz,+420775585158,http://www.vidacr.cz,,matched
VIDA centrum Praha,Odborné sociální poradenství,"Dukelských hrdinů 969/6, Holešovice (Praha 7) 170 00, Hlavní město Praha",praha@vidacentrum.cz,+420775585153,www.vidacr.cz,https://www.vidacr.cz,matched
VIDA centrum Litoměřice,Odborné sociální poradenství,"Dvořákova 959/1, Litoměřice-Město 412 01, Ústecký kraj",litomerice@vidacentrum.cz,+420775585154,www.vidacr.cz,https://www.vidacr.cz,matched
VIDA centrum Rakovník,Odborné sociální poradenství,"Poštovní 239, Rakovník I 269 01, Středočeský kraj",rakovnik@vidacentrum.cz,+420775585162,http://www.vidacr.cz/,,matched
VIDA centrum Plzeň,Odborné sociální poradenství,"Tylova 1, Plzeň 1-Bolevec (část) 301 00, Plzeňský kraj",plzen@vidacentrum.cz,+420775585159,www.vidacr.cz,https://www.vidacr.cz,matched
Kontaktní centrum Anabell BRNO,Odborné sociální poradenství,"Masarykova 506/37, Brno-město (část) 602 00, Jihomoravský kraj",recepce.brno@anabell.cz,,http://www.anabell.cz,,matched
Psychologická poradna,Odborné sociální poradenství,"Skácelova 2, Hodonín 695 01, Jihomoravský kraj",poradna@psychocentrumdomecek.cz,,www.psychocentrumdomecek.cz,https://www.psychocentrumdomecek.cz,matched
Odborné sociální poradenství - poradna PřES PRÁH,Odborné sociální poradenství,"Tuřanská 12, Brno-Tuřany (část) 620 00, Jihomoravský kraj",jana.wudyova@prah-brno.cz,+420734850546,http://www.prah-brno.cz/novinky/2-uncategorised/63-odborne-socialni-poradenstvi,,matched
Sociální poradenství (Kontaktní centrum Anabell Ostrava),Odborné sociální poradenství,"Sokolská třída 81 (areál Hornické polikliniky), Ostrava-Přívoz 702 00, Moravskoslezský kraj",ostrava@anabell.cz,+420602236457,www.anabell.cz,https://www.anabell.cz,matched
Sociální poradna,Odborné sociální poradenství,"Sušilova 1 (Klášterní středisko), Opava 746 01, Moravskoslezský kraj",poradna@animaviva.cz,+420739404544,www.animaviva.cz,https://www.animaviva.cz,matched
Sociální poradenství Ledovec,Odborné sociální poradenství,"Karolíny Světlé 463/13, Severní Předměstí (část) 323 00, Plzeňský kraj",por@ledovec.cz,,https://www.ledovec.cz/socialni-sluzby/item/30-odborne-socialni-poradenstvi-ledovec,,matched
Sociální poradenství,Odborné sociální poradenství,"Hudečkova 664/1, Děčín I-Děčín 405 02, Ústecký kraj",decin@fokuslabe.cz,,www.fokuslabe.cz,https://www.fokuslabe.cz,matched
Sociální poradenství,Odborné sociální poradenství,"Školní 670/26, Teplice 415 01, Ústecký kraj",teplice@fokuslabe.cz,+420739456465,www.fokuslabe.cz,https://www.fokuslabe.cz,matched
Sociální poradenství,Odborné sociální poradenství,"Stroupežnického 1372/9, Ústí nad Labem-centrum (část) 400 01, Ústecký kraj",usti@fokuslabe.cz,,www.fokuslabe.cz,https://www.fokuslabe.cz,matched
Odborné sociálně právní poradenství,Odborné sociální poradenství,"K Chatám 22, Skorotice (část) 403 40, Ústecký kraj",spirala.cki@volny.cz,+420472743835,www.spirala-ul.cz,https://www.spirala-ul.cz,matched
Poradna pro osoby s poruchou příjmu potravy a jejich blízké (Kontaktní centrum Anabell Praha),Odborné sociální poradenství,"Drtinova 2a (areál DDM), Malá Strana (Praha 5) 150 00, Hlavní město Praha",stredoceskykraj@anabell.cz,+420725112705,www.anabell.cz,https://www.anabell.cz,matched
Sociální poradna,Odborné sociální poradenství,"Křižíkova 76/61, Karlín (část) 186 00, Hlavní město Praha",poradna@greendoors.cz,+420774913029,www.greendoors.cz,https://www.greendoors.cz,matched
Ambulance Kaleidoskop,Odborné sociální poradenství,"Heleny Malířové 411/4, Břevnov (Praha 6) (část) 169 00, Hlavní město Praha",ambulance@kaleidoskop-os.cz,+420774437977,www.kaleidoskop-os.cz,https://www.kaleidoskop-os.cz,matched
Odborné sociální poradenství,Odborné sociální poradenství,"Velká Krajská 47/7, Litoměřice-Město 412 01, Ústecký kraj",litomerice@fokuslabe.cz,+420413034461,http://www.fokuslabe.cz,,matched
"Poradna - Agentura Osmý den, o.p.s.",Odborné sociální poradenství,"Pohraniční 333/20, Děčín II-Nové Město 405 02, Ústecký kraj",zuzana.thurlova@osmyden.cz,+420774775709,http://www.osmyden.cz,,matched
občanská poradna Kutná Hora,Odborné sociální poradenství,"Trebišovská 661, Kutná Hora-Vnitřní Město 284 01, Středočeský kraj",petra.zitova@kh.hk.caritas.cz,,https://kh.charita.cz,,matched
Poradna MELA,Odborné sociální poradenství,"Jeronýmova 632, Kolín VI 280 02, Středočeský kraj",kratina@melaops.cz,+420736620819,www.melaops.cz,https://www.melaops.cz,matched
Odborné sociální poradenství - Centrum služeb Slunce všem,Odborné sociální poradenství,"Pražská 910, Unhoš (část) 273 51, Středočeský kraj",centrum@slunce.info,+420771126585,http://www.slunce.info,,matched
Ambulantní léčba Renadi,Odborné sociální poradenství,"Bratislavská 2, Brno-Staré Brno (část) 602 00, Jihomoravský kraj",renadi@renadi.cz,+420721911633,https://www.renadi.cz,,matched
Odborné sociální poradenství,Odborné sociální poradenství,"Kotěrova 847/5, Hradec Králové (část) 500 03, Královéhradecký kraj",plt@charitahk.cz,+420777737612,https://www.charitahk.cz/komu-a-jak-pomahame/lidem-v-tisni-poradenstvi/,,matched
Centrum pro zdravotně postižené Liberec,Odborné sociální poradenství,"Dr. Milady Horákové 185/66, Horní Růžodol-Liberec VII 460 07, Liberecký kraj",liberec.cz,+420485104044,www.czplk.cz,https://www.czplk.cz,matched
Centrum pro zdravotně postižené česká Lípa,Odborné sociální poradenství,"Konopeova 812/2, česká Lípa (část) 470 01, Liberecký kraj",ceskalipa.cz,+420487853481,www.czplk.cz,https://www.czplk.cz,matched
Centrum pro zdravotně postižené Semily,Odborné sociální poradenství,"Archivní 570, Semily (část) 513 01, Liberecký kraj",semily.cz,+420488577841,www.czplk.cz,https://www.czplk.cz,unmatched
Centrum pro zdravotně postižené Jablonec nad Nisou,Odborné sociální poradenství,"Emilie Floriánové 1736/8, Jablonec nad Nisou (část) 466 01, Liberecký kraj",jablonec.cz,+420483356218,www.czplk.cz,https://www.czplk.cz,matched
Občanská poradna Prachatice,Odborné sociální poradenství,"Zlatá stezka 145, Prachatice 383 01, Jihočeský kraj",poradna@krebul.cz,+420723123093,https://www.krebul.cz/obcanska-poradna,,matched
Občanská poradna Liberec,Odborné sociální poradenství,"Švermova 32/35, Františkov-Liberec X 460 10, Liberecký kraj",poradna@d-os.net,+420777098277,www.d-os.net,https://www.d-os.net,matched
"Občanská poradna Liberec - kontaktní pracoviště Jablonec nad Nisou, Spolkový dům",Odborné sociální poradenství,"Emilie Floriánové 1376/8, Jablonec nad Nisou (část) 466 01, Liberecký kraj",poradna.jablonec@d-os.net,+420775077618,www.d-os.net,https://www.d-os.net,matched
Občanská poradna Liberec - kontaktní pracoviště Frýdlant v čechách - POSEC,Odborné sociální poradenství,"Havlíčkovo nám. 304, Frýdlant 464 01, Liberecký kraj",poradna.frydlant@d-os.net,+420775077234,www.d-os.net,https://www.d-os.net,matched
Občanská poradna Liberec - kontaktní pracoviště Nový Bor,Odborné sociální poradenství,"Wolkerova 446, Nový Bor 473 01, Liberecký kraj",poradna.novybor@d-os.net,+420774496261,www.d-os.net,https://www.d-os.net,matched
Občanská poradna Liberec - pracoviště česká Lípa,Odborné sociální poradenství,"Wolkerova 446, česká Lípa (část) 470 01, Liberecký kraj",poradna.ceskalipa@d-os.net,+420608477657,www.d-os.net,https://www.d-os.net,matched
Občanská poradna Liberec - kontaktní pracoviště Turnov,Odborné sociální poradenství,"Žižkova 2031, Turnov 511 01, Liberecký kraj",poradna.turnov@d-os.net,+420777323156,www.d-os.net,https://www.d-os.net,matched
Občanská poradna Liberec - kontaktní pracoviště Jilemnice,Odborné sociální poradenství,"Dolení 64, Jilemnice 514 01, Liberecký kraj",poradna.jilemnice@d-os.net,+420776331112,www.d-os.net,https://www.d-os.net,matched
ELVA HELP z.s.,Odborné sociální poradenství,"Palachova 504/7, Liberec I-Staré Město (část) 460 01, Liberecký kraj",handicap.help@seznam.cz,+420607725304,www.elvahelp.cz,https://www.elvahelp.cz,matched
"Život bez bariér, z. ú. Nová Paka, Odborné sociální poradenství",Odborné sociální poradenství,"Opolského 148, Nová Paka (část) 509 01, Královéhradecký kraj",dana.chaloupkova@zbb.cz,+420602393368,http://www.zbb.cz,,matched
Občanská poradna Hradec Králové,Odborné sociální poradenství,"československé armády 543/29, Hradec Králové (část) 500 03, Královéhradecký kraj",ophk@ops.cz,+420736472678,http://www.ops.cz,,matched
Občanská poradna Náchod,Odborné sociální poradenství,"Weyrova 3, Náchod 547 01, Královéhradecký kraj",opnachod@ops.cz,+420734370960,http://www.ops.cz,,matched
Občanská poradna Jičín,Odborné sociální poradenství,"17. listopadu 861, Jičín-Dvorce 506 01, Královéhradecký kraj",opjicin@ops.cz,+420736472676,http://www.ops.cz,,matched
