Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka,web,Matched,Source
Klub MOLO,Nízkoprahové zařízení,"Březenecká 4809, Chomutov, 430 04 Chomutov",andrea.nadvornikova@svetlokadanzs.cz,+420725867953,www.svetlokadanzs.cz,https://www.svetlokadanzs.cz,matched,scraped_contacts_telefon
Klub DOpatra,Nízkoprahové zařízení,"Husova 1667, Kadaň, 432 01 Kadaň",nzdmdopatra@svetlokadanzs.cz,+420725543166,www.svetlokadanzs.cz,https://www.svetlokadanzs.cz,matched,scraped_contacts_telefon
Klub Agora,Nízkoprahové zařízení,"Štěpánkova 92, Chrudim I, 537 01 Chrudim ",sance@sance.chrudim.cz,+420469623501,www.sance.chrudim.cz,https://www.sance.chrudim.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
"NZDM Futur, pracoviště Chrudim",Nízkoprahové zařízení,"Školní náměstí 11, Chrudim II, 537 01 Chrudim",sance@sance.chrudim.cz,+420739253793,http://www.sance.chrudim.cz,,matched,scraped_contacts_email
Nízkoprahový klub Útočiště pro děti od 6 do 21 let,Nízkoprahové zařízení,"Dobrovského 78/19, Cheb, 350 02 Cheb",utociste.cheb@seznam.cz,+420354433169,www.utocistecheb.cz,https://www.utocistecheb.cz,matched,scraped_contacts_email
Nízkoprahové zařízení pro děti a mládež - komunitní centrum Hrušov,Nízkoprahové zařízení,"Žižkova 27/7, Slezská Ostrava-Hrušov, 711 00 Ostrava",nzdmkchrusov@vzajemnesouziti.cz,+420777760195,www.vzajemnesouziti.cz,https://www.vzajemnesouziti.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
Nízkoprahové zařízení pro děti a mládež - Komunitní centrum Liščina,Nízkoprahové zařízení,"Sodná 25, Hrušov, 711 00 Ostrava",nzdmkcliscina@vzajemnesouziti.cz,+420777760199,www.vzajemnesouziti.cz,https://www.vzajemnesouziti.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
Nízkoprahové zařízení KamPak?,Nízkoprahové zařízení,"Masarykovo náměstí 1079, 766 01 Valašské Klobouky",michal.filak@gmail.com,+420739656660,www.dokampaku.cz,https://www.dokampaku.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
Klub Přízemí,Nízkoprahové zařízení,"Prunéřov 377, 432 01 Kadaň",nzdmprizemi@svetlokadanzs.cz,+420702042573,www.svetlokadanzs.cz,https://www.svetlokadanzs.cz,matched,scraped_contacts_telefon
Nízkoprahový klub Vrtule,Nízkoprahové zařízení,"Kobyliské náměstí 640/11, Praha 8-Kobylisy, 182 00 Praha",vrtule@strediskokobylisy.cz,+420283029310,www.strediskokobylisy.cz/vrtule,https://www.strediskokobylisy.cz/vrtule,matched,scraped_contacts_email
Salesiánské středisko mládeže - dům dětí a mládeže Plzeň,Nízkoprahové zařízení,"Sladkovského 856/68, Plzeň 2-Slovany, Východní Předměstí, 326 00 Plzeň",sdbplzen@sdbplzen.cz,+420377266953,http://www.sdbplzen.cz,,matched,"scraped_contacts_telefon, scraped_contacts_email"
NZDM V kostce,Nízkoprahové zařízení,"Ant. Barcala 1791/40, 370 05 České Budějovice",katerina.burianova@sasmcb.cz,+420734435031,http://www.sasmcb.cz,,matched,scraped_contacts_telefon
Želváček,Nízkoprahové zařízení,"Masarykova 461, Bohosudov, 417 42 Krupka",ivana.simankova@poradna-prava.cz,+420724701600,www.poradna-prava.cz,https://www.poradna-prava.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
EZOP-Nízkoprahové zařízení pro děti a mládež,Nízkoprahové zařízení,"Drobného 301, 592 31 Nové Město na Moravě",ezop@portimo.cz,+420566616980,www.portimo.cz,https://www.portimo.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
KLUB I.P.,Nízkoprahové zařízení,"Velké náměstí 14, Prachatice I, 383 01 Prachatice",klubip@portusprachatice.cz,+420723206051,www.portusprachatice.cz,https://www.portusprachatice.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
"Prev-Centrum, Nízkoprahové služby",Nízkoprahové zařízení,"Meziškolská 1120/2, Praha 6-Břevnov, 169 00 Praha",nzdm@prevcentrum.cz,+420242498334,http://www.prevcentrum.cz/nzdm,,matched,"scraped_contacts_telefon, scraped_contacts_email"
SPOT NZDM Prevent,Nízkoprahové zařízení,"Zeyerovy sady 963, Vodňany II, 389 01 Vodňany",spot@prevent99.cz,+420606089789,www.prevent99.cz/spot/,https://www.prevent99.cz/spot/,matched,"scraped_contacts_telefon, scraped_contacts_email"
CROSS Nízkoprahové zařízení pro děti a mládež Prevent,Nízkoprahové zařízení,"Lidická 193, Strakonice I, 386 01 Strakonice",cross@prevent99.cz,+420601536872,http://cross.prevent99.cz,,matched,scraped_contacts_telefon
Station 17 - Nízkoprahové zařízení pro děti a mládež Prevent,Nízkoprahové zařízení,,station17@prevent99.cz,+420601531511,http://station17.prevent99.cz,,matched,scraped_contacts_telefon
Klub Zóna,Nízkoprahové zařízení,"Střední novosadská 202/48, Nové Sady, 779 00 Olomouc",t.valouchova@seznam.cz,+420773980992,http://www.zonaklub.cz,,matched,scraped_contacts_telefon
NZDM 21,Nízkoprahové zařízení,"Havlíčkova 8, Beroun-Město, 266 01 Beroun",z.benesova@prozdravi21.cz,+420702013352,www.prozdravi21.cz,https://www.prozdravi21.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
Nízkoprahové zařízení pro děti a mládež Terén - Dobříš,Nízkoprahové zařízení,"Jáchymovská 1869, 263 01 Dobříš",office@proximasociale.cz,+420777310306,www.proximasociale.cz,https://www.proximasociale.cz,matched,scraped_contacts_email
Nízkoprahové zařízení pro děti a mládež Klub Radotín,Nízkoprahové zařízení,"Loučanská 1112/3, Praha 16-Radotín, 153 00 Praha",office@proximasociale.cz,+420777471800,http://www.proximasociale.cz,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Nízkoprahová zařízení pro děti a mládež Jedna Trojka,Nízkoprahové zařízení,"K zahrádkám 1865/11, Stodůlky, 155 00 Praha",office@proximasociale.cz,+420775610453,www.proximasociale.cz,https://www.proximasociale.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
Nízkoprahová zařízení pro děti a mládež Činžák - Klub Činžák,Nízkoprahové zařízení,"Havlíčkova 787/45, Mladá Boleslav II, 293 01 Mladá Boleslav",office@proximasociale.cz,+420775560507,www.proximasociale.cz,https://www.proximasociale.cz,matched,scraped_contacts_email
Nízkoprahové zařízení pro děti a mládež Klub Jižní pól,Nízkoprahové zařízení,"Brandlova 1639/6, Praha 11-Chodov, 149 00 Praha",office@proximasociale.cz,+420775637050,http://www.proximasociale.cz,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Nízkoprahové zařízení pro děti a mládež Krok,Nízkoprahové zařízení,"Rakovského 3138/2, Praha 12-Modřany, 143 00 Praha",office@proximasociale.cz,+420775610003,http://www.proximasociale.cz,,matched,scraped_contacts_email
Nízkoprahové zařízení pro děti a mládež,Nízkoprahové zařízení,"Koněvova 605/2, Praha 3-Žižkov, 130 00 Praha",kancelar@r-mosty.cz,+420222581241,http://www.r-mosty.cz,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Klub Amaro Avindo,Nízkoprahové zařízení,"Boženy Němcové 295, 439 42 Postoloprty",romano.j@seznam.cz,+420774214357,www.romanojasnica.webnode.cz,https://www.romanojasnica.webnode.cz,matched,scraped_contacts_email
Nízkoprahové zařízení pro mládež,Nízkoprahové zařízení,"Fügnerova 111/6, 400 04 Trmice",romano.j@seznam.cz,+420475501774,www.romanojasnica.cz,https://www.romanojasnica.cz,matched,scraped_contacts_email
Nízkoprahové zařízení pro děti M. C. Zefyríno,Nízkoprahové zařízení,"Fügnerova 59/20, 400 04 Trmice",romano.j@seznam.cz,+420475501774,www.romanojasnica.cz,https://www.romanojasnica.cz,matched,scraped_contacts_email
NZDM Bedna,Nízkoprahové zařízení,"Budovatelů 116, Příbram VIII, 261 01 Příbram",info@ponton.cz,+420608936116,http://www.ponton.cz,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Nízkoprahové zařízení pro děti a mládež Depo,Nízkoprahové zařízení,"Horská 740, Kaplice, 382 41 Kaplice",katerina.krivohlavkova@ckrumlov.charita.cz,+420731604505,http://www.ckrumlov.charita.cz,,matched,scraped_contacts_telefon
Nízkoprahové zařízení pro děti a mládež Molo,Nízkoprahové zařízení,"Družstevní 596, 382 32 Velešín",katerina.krivohlavkova@ckrumlov.charita.cz,+420731604505,www.ckrumlov.charita.cz,https://www.ckrumlov.charita.cz,matched,scraped_contacts_telefon
Nízkoprahové zařízení pro děti a mládež DéDéčko,Nízkoprahové zařízení,"Dolní Dvořiště 171, 382 72 Dolní Dvořiště",katerina.krivohlavkova@ckrumlov.charita.cz,+420731604505,www.ckrumlov.charita.cz,https://www.ckrumlov.charita.cz,matched,scraped_contacts_telefon
"ADIKTOLOGICKÉ CENTRUM, s.r.o.",Psychologové,"Včelník 1070 Mníšek pod Brdy, 252 10",,+420602651337,http://www.adiktologickecentrum.cz/kontakt/11-oat-mnisek-pod-brdy,,matched,scraped_contacts_telefon
Mgr. Danuše Jandourková,Psychologové,"Na Vyhlídce 582, 252 29 Dobřichovice",info@ckp-dobrichovice.cz,+420723603600,https://www.ckp-dobrichovice.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Mgr. Barbora Bučková,Psychologové,"Na Vyhlídce 582, 252 29 Dobřichovice",info@ckp-dobrichovice.cz,+420723603600,https://www.ckp-dobrichovice.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
PhDr. Jana Hospodková Klinický psycholog,Psychologové,Poliklinika Okružní 2160 (2. patro) 288 02 Nymburk,ordinacepsychologie@gmail.com,+420725322635,http://www.psychologienymburk.cz/,,matched,scraped_contacts_telefon
Mgr. Milada Kroutilová,Psychologové,Vančurova 1548 272 01 Kladno,,+420312606111,http://www.nemocnicekladno.cz/oddeleni/spolecne-obory/klinicka-psychologie,,matched,scraped_contacts_telefon
"MGR. KATEŘINA HOLLÁ, PH.D. Klinický psycholog a psychoterapeut",Psychologové,"Mostní 934, 278 01, Kralupy nad Vltavou",hollka@gmail.com,+420603243603,https://hollka.com/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Středisko komplexní terapie s.r.o. Ordinace klinické a dopravní psychologie a psychoterapie PhDr. Jana Pichová,Psychologové,"Jiráskova 1320 293 01, Mladá Boleslav",jana.pichova.psycholog@gmail.com,+420776769338,http://www.stredisko-komplexni-terapie.cz/index.html,,matched,scraped_contacts_telefon
PHDR. DAGMAR BREJLOVÁ,Psychologové,"Primáře Kareše 405, Sedlčany",dagmar@brejlova.cz,+420607575073,http://brejlova.cz/,,matched,scraped_contacts_telefon
PhDr. Mgr. Tereza Baštová,Psychologové,Jablonského 634 280 02 Kolín 5 – Zálabí,tereza.bastova@dike.cz,nan,https://www.psychologie-zdravi.cz/,,matched,scraped_contacts_email
PhDr. Kateřina Nosková,Psychologové,"Jana Masaryka 445, Vlašim",,+420739434249,https://www.psychologie-vlasim.cz/,,matched,scraped_contacts_telefon
Phdr. Radka Čermáková,Psychologové,"Bezručova 296/22, 25101 Říčany",info@psychiatrie-ricany.cz,+420323601575,https://www.psychiatrie-ricany.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
MGR. JINDŘICH VENCEFR,Psychologové,"Poštovní 150, Rakovník, 269 01",psycholograkovnik@email.cz,+420777711317,https://psycholograkovnik.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
SAINT MEDICAL – Centrum psychosomatické medicíny,Psychologové,Kollárova 208 250 88 Čelákovice,,+420725940980,https://saintmedical.cz/klinicka-psychologie,,matched,scraped_contacts_telefon
Mgr. Natália Valdiviezová,Psychologové,"Chlumova 4755/12, 586 01 Jihlava",natalia.valdiviezova@seznam.cz,+420774156640,https://www.dopravnipsycholog.info/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Psychocentrum kraje Vysočina – Jihlava – PhDr. Hinková Olga,Psychologové,"Pod Příkopem 4, 586 01 Jihlava",poradna.ji@psychocentrum.cz,nan,https://www.psychocentrum.cz/pracoviste-jihlava,,matched,scraped_contacts_email
Ambulance klinické psychologie a adiktologie – Mgr. Nora Brátková,Psychologové,"Jelínkova 991/39, Nové Dvory, 674 01 Třebíč",bratkova@centrum.cz,+420737907291,http://www.psychologiebratkova.cz/,,matched,scraped_contacts_telefon
Mgr. Natália Valdiviezová,Psychologové,"Znojemská 1330, 67401 Třebíč",natalia.valdiviezova@seznam.cz,+420774156640,https://www.dopravnipsycholog.info/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Psychocentrum kraje Vysočina – Havlíčkův Brod – PhDr. Kysilková Jindřiška,Psychologové,"Dobrovského 2915, 580 01 Havlíčkův Brod",poradna.hb@psychocentrum.cz,+420734354085,https://www.psychocentrum.cz/pracoviste-havlickuv-brod,,matched,"scraped_contacts_telefon, scraped_contacts_email"
PhDr. Ludmila Weinholdová,Psychologové,"Žatecká 2092, Černošice",weinholdova@sendme.cz,+420607847230,https://weinholdova.webnode.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Mgr. Tomáš Vilimovský,Psychologové,Zborovská 995 Vstup z ulice V lomu 280 02 Kolín,ordinacepsychologie@gmail.com,+420725322635,https://www.psychologiekolin.cz/,,matched,scraped_contacts_telefon
"ADIKTOLOGICKÉ CENTRUM, s.r.o.",Psychologové,Na Pustině 1068 Kolín II PSČ 280 02,,+420733193646,http://www.adiktologickecentrum.cz/kontakt/10-kolin,,matched,scraped_contacts_telefon
Dětská klinická psychologie Mgr. Pavla Janská,Psychologové,"Vaňkova 348, 339 01 Klatovy",,+420604427261,https://www.psychologickapraxe.com/,,matched,scraped_contacts_telefon
Mgr. Tereza Přádná,Psychologové,Kollárova 208 250 88 Čelákovice Praha-východ,pradna@terapeutika.cz,+420777352019,https://www.terapeutika.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
PhDr. Erika Gerlová Ph.D.,Psychologové,Rižská 1580/11 Praha 15 – Hostivař,gerlova@terapeutika.cz,+420773533777,https://www.terapeutika.cz/,,matched,scraped_contacts_email
Mgr.Jindra Bachmanová,Psychologové,"Moskevská 638/8, Perštýn, 460 01 Liberec",,+420774283313,http://jindrabachmanova.cz/,,matched,scraped_contacts_telefon
Mgr. Kodýtková Jaroslava,Psychologové,"U Sila 1201, 463 11 Liberec",,+420721979708,http://www.kodytkova.cz/,,matched,scraped_contacts_telefon
Psychologie Biofeedback – Mgr. Lucie Šmahelová,Psychologové,"Podhorská 20, 466 01 Jablonec nad Nisou",,+420607038554,http://psychologie-biofeedback.cz/,,matched,scraped_contacts_telefon
MUDr. Ilona Grimová (Chomutov),Psychologové,"Chomutov, Beethovenova 1140",mudrgrimova@centrum.cz,nan,http://www.psychiatriegrimova.cz/,,matched,scraped_contacts_email
Ganjuur Gantulga,Psychologové,"Most, Julia Fučíka 2553",,+420774836868,http://www.viteznydech.com/,,matched,scraped_contacts_telefon
"FoxMedical s.r.o. Mgr. Ilona Váchová, klinická psychologie",Psychologové,"náměstí Dr. M. Horákové 1313/8, 360 01 Karlovy Vary",psychologie.vachova@gmail.com,+420353112272,https://psychiatrie-psychologie-kvary.webnode.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Klinická psychologie Monika Kopárková s.r.o.,Psychologové,"Divadelní nám. 593/3, 350 02 Cheb",mkoparkova@gmail.com,nan,https://koparkovamonika.cz/,,matched,scraped_contacts_email
PhDr. Gregorová Iva Ph.D.,Psychologové,"Masarykova 1132/62, 312 00 Plzeň 4",i.gregorova@centrum.cz,nan,https://psycholog-iva-gregorova.business.site/,,matched,scraped_contacts_email
Psychoordinace Smrková s.r.o.,Psychologové,"Smrková 1015/23, 312 00 Plzeň 4",ordinace@psychordinace.cz,+420371430090,https://www.psychordinace.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
PhDr. Dagmar Steinhäuselová,Psychologové,"Alej svobody 40, Plzeň Lochotín",ds@psychologie-stein.cz,+420602406538,https://www.psychologie-stein.cz/index.php,,matched,scraped_contacts_telefon
Mgr. Jan Betlach,Psychologové,"Plzenecká 921, 326 00 Plzeň 2-Slovany-Východní Předměstí",janbetlach@gmail.com,+420724087978,http://www.janbetlach.cz/,,matched,scraped_contacts_telefon
Mgr. Lucie Kryslová,Psychologové,"Alej Svobody 80, 304 60 Plzeň-Lochotín",krysloval@fnplzen.cz,+420377104676,https://dk.fnplzen.cz/cs/node/394,,matched,scraped_contacts_telefon
Mgr. Zdeňka Sumega Vařenková,Psychologové,"Palackého 101/9, Plzeň – Jižní Předměstí 301 00",info@varenkova.cz,+420603170040,http://www.varenkova.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Mgr. Linda Spěváčková,Psychologové,"Sedláčkova 210/14, Plzeň – Vnitřní Město 301 00",linda.spevackova@psycholog-analytik.cz,+420734865994,https://www.psycholog-analytik.cz/,,matched,scraped_contacts_email
Fakultní nemocnice Plzeň – Oddělení klinické psychologie,Psychologové,"Alej Svobody 923/80, 323 00 Plzeň 1-Severní Předměstí",chmelarova@fnplzen.cz,nan,http://okp.fnplzen.cz/cs/node/1928,,matched,scraped_contacts_email
PhDr. Dagmar Nosilová – klinický psycholog a psychoterapeut,Psychologové,"Vepřkova 1220/21, 274 01 Slaný",nosilova@gmail.com,+420725753653,http://www.psycholog-slany.cz/,,matched,scraped_contacts_telefon
"Klinická psychologie, Dopravní psychologie Mgr. Jaroslav Janský",Psychologové,"Vaňkova 348, 339 01 Klatovy",,+420603201446,https://www.psychologickapraxe.com/,,matched,scraped_contacts_telefon
Psychologická ambulance PhDr. Sojka s.r.o.,Psychologové,"Dobrovského 2915, Havlíčkův Brod 580 01",ambulance@hbnet.cz,+420702054888,http://www.sojka.hbnet.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Ambulance klinické psychologie a adiktologie Kroměříž Klinická psychologie PhDr. Markéta Brunová Meluzínová Mgr. Marika Michajlovičová,Psychologové,Tovačovského 437 767 01 Kroměříž,,+420775061881,https://www.ambulancekm.cz/,,matched,scraped_contacts_telefon
Uherskohradišťská nemocnice – Ambulance klinické psychologie,Psychologové,J. E. Purkyně 365 686 68 Uherské Hradiště,benicekm@nemuh.cz,+420572529852,http://psychologuh.cz/,,matched,scraped_contacts_telefon
Ambulance klinické psychologie s.r.o.,Psychologové,"Spojů 835, 708 00 Ostrava-Poruba",ordinace@amkp.cz,+420606087282,http://www.amkp.cz/,,matched,scraped_contacts_telefon
NZDM Klub Bunkr,Nízkoprahové zařízení,"Tyršova 118/8, Nový Jičín, 741 01 Nový Jičín 1",nzdm.novyjicin@bunkr.cz,+420734178556,www.bunkr.cz,https://www.bunkr.cz,matched,scraped_contacts_telefon
NZDM Klub Bunkr,Nízkoprahové zařízení,"Ad. Mickiewicze 67, Nový Bohumín, 735 81 Bohumín 1",nzdm.bohumin@bunkr.cz,+420734321931,www.bunkr.cz,https://www.bunkr.cz,matched,scraped_contacts_telefon
NZDM Klub Bunkr,Nízkoprahové zařízení,"Jablunkovská 705, Staré Město, 739 61 Třinec 1",nzdm.trinec@bunkr.cz,+420731444371,www.bunkr.cz,https://www.bunkr.cz,matched,scraped_contacts_telefon
Nízkoprahové zařízení pro děti a mládež Radvanice,Nízkoprahové zařízení,"Ráčkova 664/20, Radvanice, 716 00 Ostrava 16",centrom@centrom.cz,+420774713002,www.centrom.cz,https://www.centrom.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
Nízkoprahové zařízení pro děti a mládež Vítkovice,Nízkoprahové zařízení,"Sirotčí 692/45, Vítkovice, 703 00 Ostrava 3",centrom@centrom.cz,+420774713002,www.centrom.cz,https://www.centrom.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
Nízkoprahový klub pro děti a mládež Bouda,Nízkoprahové zařízení,"T. G. Masaryka 114, Latrán, 381 01 Český Krumlov 1",bouda@cpdm.cz,+420734443923,http://www.cpdm.cz,,matched,scraped_contacts_telefon
Harmonia - kulturní a vzdělávací centrum,Nízkoprahové zařízení,"Krátká 422, 252 07 Štěchovice",sigmundova@css-hvozdy.cz,+420733196118,www.css-hvozdy.cz,https://www.css-hvozdy.cz,matched,scraped_contacts_telefon
Klub Cesta,Nízkoprahové zařízení,"Na Obci 2049/9, Říčany, 251 01 Říčany u Prahy",klubcesta@cestaintegrace.cz,+420774780541,www.cestaintegrace.cz,https://www.cestaintegrace.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
Klub Akcent pro děti a mládež,Nízkoprahové zařízení,"Jiráskova 481, Nové Město, 337 01 Rokycany",kluby@diakoniezapad.cz,+420731517377,www.diakoniezapad.cz,https://www.diakoniezapad.cz,matched,scraped_contacts_telefon
NZDM Archa,Nízkoprahové zařízení,"Miskovice 30, 285 01 Miskovice u Kutné Hory",nzdmarcha@seznam.cz,+420734589759,www.diteakun.cz,https://www.diteakun.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
Domeček - středisko Husitské diakonie,Nízkoprahové zařízení,"Branka 588, 374 01 Trhové Sviny",domecek@domecek.org,+420386322545,http://www.domecek.org,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Nízkoprahový klub pro děti a mládež,Nízkoprahové zařízení,"Hřbitovní 558, 763 15 Slušovice",info@idomino.eu,+420577218708,www.idomino.eu,https://www.idomino.eu,matched,"scraped_contacts_telefon, scraped_contacts_email"
Nízkoprahové zařízení pro děti a mládež DROM,Nízkoprahové zařízení,"Hvězdová 906/9, Brno-střed, Zábrdovice, 602 00 Brno",drom@drom.cz,+420545211576,http://www.drom.cz,,matched,"scraped_contacts_telefon, scraped_contacts_email"
NZDM DoPatra,Nízkoprahové zařízení,"Karla IV. 83, 504 01 Nový Bydžov",sholmanova@seznam.cz,+420495260704,www.dopatra.cz,https://www.dopatra.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
Klub Beztíže,Nízkoprahové zařízení,"Na Balkáně 2866/17a, Praha 3-Žižkov, 130 00 Praha",info@ulita.cz,+420271771026,www.ulita.cz,https://www.ulita.cz,matched,scraped_contacts_email
Nízkoprahový klub pro děti a mládež Magnet,Nízkoprahové zařízení,"Rolnická 1636/21a, Opava -Kateřinky, 747 05 Opava",clubmagnetopava@email.cz,+420775591986,www.elimopava.cz,https://www.elimopava.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
"Nízkoprahové zařízení pro děti a mládež ""Na Hraně""",Nízkoprahové zařízení,"Úzká 717/3, 748 01 Hlučín",nzdmnahrane@email.cz,+420775591986,www.elimopava.cz,https://www.elimopava.cz,matched,"scraped_contacts_telefon, scraped_contacts_email"
Hiporehabilitace Jupiter z.s.,Nízkoprahové zařízení,"Mníšecká 23, 252 30 Řevnice",info@jupiter.cz,+420776614704,www.hipojupiter.cz,https://www.hipojupiter.cz,matched,scraped_contacts_telefon
Nízkoprahový klub Husita,Nízkoprahové zařízení,"náměstí Barikád 1520/1, Praha 3-Žižkov, 130 00 Praha",info@husitskecentrum.cz,+420605860906,https://komunitnikostel.cz/husita,,matched,scraped_contacts_telefon
Prevence s Bonanzou,Nízkoprahové zařízení,"Vendolí 18, 569 14 Vendolí",lenka@osbonanza.cz,+420608218847,www.osbonanza.cz,https://www.osbonanza.cz,matched,scraped_contacts_telefon
Poradenské centrum - rovné šance pro všechny (české Budějovice),Odborné sociální poradenství,"česká 380/52, české Budějovice 370 01, Jihočeský kraj",osjihoceskaruze@centrum.cz,nan,https://jihoceskaruze.cz/poradenske-centrum/,,matched,scraped_contacts_email
Nízkoprahový klub Díra,Nízkoprahové zařízení,"Felberova 669/2, Lány, 568 02 Svitavy 2",lenka@osbonanza.cz,+420608218847,www.osbonanza.cz,https://www.osbonanza.cz,matched,scraped_contacts_telefon
"Armáda spásy, Nízkoprahové zařízení pro děti a mládež Ostrava - Přívoz",Nízkoprahové zařízení,"Palackého 741/25, Přívoz, 702 00 Ostrava 2",marcela.stryjova@armadaspasy.cz,+420737215431,http://www.armadaspasy.cz,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Ambulance klinické psychologie – Mgr. Jana Milatová,Psychologové,"Zdeňka Chalabaly 3041/2, 700 30 Ostrava-jih-Bělský Les",info@milatovajana.cz,+420731482917,https://www.milatovajana.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Slezské psychodiagnosticko-psychosomatické středisko v Ostravě,Psychologové,"Kolejní 12/1323, Moravská Ostrava 702 00",info@psycholog-slezsko.cz,+420725980433,http://www.psycholog-slezsko.cz/,,matched,scraped_contacts_telefon
Psychologické centrum Ostrava,Psychologové,"Veleslavínova 1022/4, 702 00 Moravská Ostrava a Přívoz",psych.poradenstvi@gmail.com,+420773435433,http://www.psychologie-centrum.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Soukromá psychologická praxe pro děti a dospělé – Mgr. Filip Jadlovec,Psychologové,"Nádražní 108, 702 00 Moravská Ostrava a Přívoz",jadlovec@ostrava-psycholog.cz,+420736210321,https://www.ostrava-psycholog.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
"Janošková Svatava, Mgr.",Psychologové,"28. října 2663/150, 702 00 Moravská Ostrava a Přívoz",konzultace@terapie-tarot.cz,+420731482969,http://terapie-tarot.cz/,,matched,scraped_contacts_telefon
Ambulance klinické psychologie – Mgr. Romana Kučová,Psychologové,"8. pěšího pluku 85, 738 01 Frýdek-Místek",klinickapsychologier@klinic.cz,+420603396912,http://www.klinic.cz/,,matched,scraped_contacts_telefon
PSYCHOLOGICKÉ PORADENSTVÍ A TERAPIE Mgr. Radek Chrobák,Psychologové,"Na Poříčí 595, 738 01 Frýdek-Místek",radekchrobak@seznam.cz,+420731033129,https://www.chrobak-terapeut.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
"PhDr. Dokoupilová, klinická psycholožka s.r.o.",Psychologové,"Dělnická 884/41, Prostřední Suchá, 735 64 Havířov",,+420596410251,http://phdrdokoupilova.cz/,,matched,scraped_contacts_telefon
Klinická a dopravní psychologie – PhDr. Věra Matúšová,Psychologové,"Štefánikova 826/7, 741 01 Nový Jičín",psychologie.mat@centrum.cz,+420774701947,https://www.psychotesty-ridici.cz/,,matched,scraped_contacts_telefon
"Mgr. Marie Müllerová – psycholog, psychoterapeut",Psychologové,"Dolní náměstí 9, Opava 746 01",marie.psycholog@seznam.cz,+420607203071,https://www.psycholog-marie-opava.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Klinická Psychologie A Psychoterapie Jablunkov s.r.o.,Psychologové,"Plukovníka Velebnovského 180, 739 91 Jablunkov",renata.kulkova@tiscali.cz,+420774635690,https://psychologie-jablunkov.webnode.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Psychologické centrum Ostrava – pobočka Bohumín,Psychologové,"1. Máje 260, 735 31 Bohumín – Skřečoň (budova Čemat)",psych.poradenstvi@gmail.com,+420773435433,http://www.psychologie-centrum.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Psychologická poradna Třinec,Psychologové,"nám. Míru 551, Staré Město, 739 61 Třinec",barbarakiedron@seznam.cz,+420777308777,https://psychologicka-poradna-trinec.webnode.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Nízkoprahové zařízení pro děti a mládež RESTART – Kotec o.s.,Nízkoprahové zařízení,"Nádražní náměstí 299, Mariánské Lázně 353 01",,+420608656561,http://www.kotec.cz/,,matched,scraped_contacts_telefon
"Armáda spásy, Nízkoprahové zařízení pro děti a mládež Frenštát pod Radhoštěm",Nízkoprahové zařízení,"Záhuní 407, 744 01 Frenštát pod Radhoštěm",petra.morcinkova@armadaspasy.cz,+420737215433,http://www.armadaspasy.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
